STATE,TRACT,P012A002,P012A026,P012B001,P012B002,P012B026,P012C001,P012C002,P012C026,P012D001,P012D002,P012D026,P012E001,P012E002,P012E026,P012F001,P012F002,P012F026,P012G001,P012G002,P012G026,P012H001,P012H002,P012H026,P012I001,P012I002,P012I026,P013001,P013A001,P013B001,P013C001,P013D001,P013E001,P013F001,P013G001,P013H001,P013I001,state,county,tract
42,470500,2557,2908,95,49,46,10,4,6,935,525,410,0,0,0,22,10,12,116,73,43,48,24,24,5428,2538,2890,38.1,43,34,23,28,0,22,26,28,43,42,003,470500
42,470600,1571,1692,46,26,20,1,1,0,29,15,14,0,0,0,10,7,3,30,16,14,27,15,12,3246,1562,1684,40.5,41,34,17,32,0,15,20,25,41,42,003,470600
42,471000,557,639,12,6,6,0,0,0,3,0,3,0,0,0,3,2,1,11,6,5,7,3,4,1193,554,639,40.6,41,27,0,28,0,45,5,33,41,42,003,471000
42,472100,1195,1404,42,23,19,7,3,4,60,30,30,1,0,1,9,7,2,37,14,23,36,20,16,2578,1186,1392,36.2,36,27,41,33,30,20,18,26,36,42,003,472100
42,472200,1113,1218,22,10,12,3,0,3,18,9,9,4,3,1,1,1,0,11,5,6,20,10,10,2312,1104,1208,35.7,35,29,19,45,24,19,12,23,36,42,003,472200
42,472300,973,1126,32,17,15,3,2,1,49,27,22,0,0,0,7,4,3,13,10,3,29,14,15,2080,966,1114,34.2,34,32,27,28,0,34,8,34,34,42,003,472300
42,472400,924,987,2,1,1,3,2,1,25,9,16,0,0,0,1,1,0,15,8,7,14,7,7,1900,919,981,39.8,39,43,41,44,0,18,40,25,39,42,003,472400
42,473100,2214,2556,37,22,15,7,4,3,90,49,41,0,0,0,20,9,11,40,25,15,41,22,19,4751,2203,2548,40.1,40,40,73,36,0,30,19,29,40,42,003,473100
42,473200,1427,1828,26,17,9,7,6,1,113,56,57,0,0,0,8,5,3,23,12,11,34,17,17,3230,1415,1815,41.6,42,28,20,36,0,27,17,31,42,42,003,473200
42,473300,2490,2863,26,15,11,2,0,2,46,18,28,0,0,0,7,4,3,43,23,20,36,15,21,5322,2478,2844,39.1,39,37,37,30,0,18,12,29,39,42,003,473300
42,473401,1717,1876,19,11,8,0,0,0,121,58,63,1,1,0,9,6,3,25,10,15,35,18,17,3568,1704,1864,38.6,39,22,0,32,28,19,14,31,39,42,003,473401
